probe_id,repo,ecosystem,package,version,relation,ghsa_id,cve_id,severity,first_patched,published,summary
N-01,poc-node-sca,npm,lodash,4.17.11,direct,GHSA-jf85-cpcp-j695,CVE-2019-10744,CRITICAL,4.17.12,2019-07-10,Prototype Pollution in lodash
N-01,poc-node-sca,npm,lodash,4.17.11,direct,GHSA-p6mc-m468-83gw,CVE-2020-8203,HIGH,4.17.19,2020-07-15,Prototype Pollution in lodash
N-01,poc-node-sca,npm,lodash,4.17.11,direct,GHSA-f23m-r3pf-42rh,CVE-2026-2950,MODERATE,4.18.0,2026-04-01,lodash vulnerable to Prototype Pollution via array path bypass in `_.unset` and `_.omit`
N-01,poc-node-sca,npm,lodash,4.17.11,direct,GHSA-r5fr-rjxr-66jc,CVE-2026-4800,HIGH,4.18.0,2026-04-01,lodash vulnerable to Code Injection via `_.template` imports key names
N-01,poc-node-sca,npm,lodash,4.17.11,direct,GHSA-xxjr-mmjv-4gpg,CVE-2025-13465,MODERATE,4.17.23,2026-01-21,Lodash has Prototype Pollution Vulnerability in `_.unset` and `_.omit` functions
N-01,poc-node-sca,npm,lodash,4.17.11,direct,GHSA-29mw-wpgm-hmr9,CVE-2020-28500,MODERATE,4.17.21,2022-01-06,Regular Expression Denial of Service (ReDoS) in lodash
N-01,poc-node-sca,npm,lodash,4.17.11,direct,GHSA-35jh-r3h4-6jhm,CVE-2021-23337,HIGH,4.17.21,2021-05-06,Command Injection in lodash
N-02,poc-node-sca,npm,minimist,0.0.8,transitive,GHSA-vh95-rmgr-6w4m,CVE-2020-7598,MODERATE,0.2.1,2020-04-03,Prototype Pollution in minimist
N-02,poc-node-sca,npm,minimist,0.0.8,transitive,GHSA-xvch-5gv4-984h,CVE-2021-44906,CRITICAL,0.2.4,2022-03-18,Prototype Pollution in minimist
N-02,poc-node-sca,npm,minimist,0.0.8,transitive,GHSA-7fhm-mqm4-2wp7,,WITHDRAWN,1.2.2,2020-03-13,WITHDRAWN: Withdrawn: ESLint dependencies are vulnerable (ReDoS and Prototype Pollution)
N-03,poc-node-sca,npm,qs,6.7.0,transitive,GHSA-w7fw-mjwx-w883,CVE-2026-2391,LOW,6.14.2,2026-02-12,qs's arrayLimit bypass in comma parsing allows denial of service
N-03,poc-node-sca,npm,qs,6.7.0,transitive,GHSA-6rw7-vpxm-498p,CVE-2025-15284,MODERATE,6.14.1,2025-12-30,qs's arrayLimit bypass in its bracket notation allows DoS via memory exhaustion
N-03,poc-node-sca,npm,qs,6.7.0,transitive,GHSA-hrpp-h998-j3pp,CVE-2022-24999,HIGH,6.10.3,2022-11-27,qs vulnerable to Prototype Pollution
N-04,poc-node-sca,npm,express,4.17.1,direct,GHSA-rv95-896h-c2vc,CVE-2024-29041,MODERATE,4.19.2,2024-03-25,Express.js Open Redirect in malformed URLs
N-04,poc-node-sca,npm,express,4.17.1,direct,GHSA-qw6h-vgh9-j6wx,CVE-2024-43796,LOW,4.20.0,2024-09-10,express vulnerable to XSS via response.redirect()
N-04,poc-node-sca,npm,express,4.17.1,direct,GHSA-pj86-cfqh-vqx6,CVE-2024-51999,WITHDRAWN,4.22.0,2025-12-01,WITHDRAWN: Withdrawn Advisory: express improperly controls modification of query properties
N-05,poc-node-sca,npm,body-parser,1.19.0,transitive,GHSA-qwcr-r2fm-qrc7,CVE-2024-45590,HIGH,1.20.3,2024-09-10,body-parser vulnerable to denial of service when url encoding is enabled
N-06,poc-node-sca,npm,cookie,0.4.0,transitive,GHSA-pxg6-pf52-xh8x,CVE-2024-47764,LOW,0.7.0,2024-10-04,"cookie accepts cookie name, path, and domain with out of bounds characters"
N-07,poc-node-sca,npm,path-to-regexp,0.1.7,transitive,GHSA-37ch-88jc-xwx2,CVE-2026-4867,HIGH,0.1.13,2026-03-27,path-to-regexp vulnerable to Regular Expression Denial of Service via multiple route param
N-07,poc-node-sca,npm,path-to-regexp,0.1.7,transitive,GHSA-9wv6-86v2-598j,CVE-2024-45296,HIGH,0.1.10,2024-09-09,path-to-regexp outputs backtracking regular expressions
